Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
38 sharon st unit a,San francisco,San-Francisco,Ca,94114,775000.0,99,95.0,1.0,1.0,651.0,Condo,1900.0,Active
94 sussex st,San francisco,San-Francisco,Ca,94131,1575000.0,85,67.0,2.0,2.0,1625.0,Multi-family (2-4 unit),1900.0,Coming soon
2152 16th ave,San francisco,San-Francisco,Ca,94116,1298000.0,81,44.0,4.0,3.0,1325.0,Single family residential,1938.0,Active
45 pinehurst way,San francisco,San-Francisco,Ca,94127,1698000.0,87,57.0,3.0,1.0,1768.0,Single family home,1928.0,Active
1830 fillmore st #311,San francisco,San-Francisco,Ca,94115,1098000.0,99,88.0,2.0,2.0,1107.0,Condo,1984.0,Active
147 peralta ave,San francisco,San-Francisco,Ca,94110,3050000.0,91,75.0,4.0,3.0,2808.0,Single family home,1910.0,Active
401 harrison st unit 25b,San francisco,San-Francisco,Ca,94105,1895000.0,94,57.0,2.0,2.0,1311.0,Condo,2014.0,Active
64 waller st,San francisco,San-Francisco,Ca,94102,1495000.0,99,86.0,2.0,2.0,1690.0,Condo,1890.0,Active
535 head st,San francisco,San-Francisco,Ca,94132,1249000.0,75,41.0,3.0,1.0,1214.0,Single family residential,1945.0,Active
2231 24th ave,San francisco,San-Francisco,Ca,94116,1598000.0,88,44.0,3.0,2.0,1840.0,Single family residential,1941.0,Active
729 congo st,San francisco,San-Francisco,Ca,94131,3410000.0,71,63.0,4.0,3.5,3215.0,Single family residential,2013.0,Active
1457 hayes st,San francisco,San-Francisco,Ca,94117,1295000.0,97,91.0,2.0,2.0,1600.0,Condo,1900.0,Active
140 south van ness ave #501,San francisco,San-Francisco,Ca,94103,1549000.0,97,99.0,3.0,2.0,1805.0,Condo,2002.0,Active
3086 market st,San francisco,San-Francisco,Ca,94114,1595000.0,90,65.0,4.0,1.0,1275.0,Single family residential,1901.0,Active
1600 webster st #201,San francisco,San-Francisco,Ca,94115,1575000.0,99,94.0,2.0,2.0,1305.0,Condo,2005.0,Active
2295 vallejo st #402,San francisco,San-Francisco,Ca,94123,995000.0,99,56.0,1.0,1.0,660.0,Condo,1975.0,Active
290 nevada st,San francisco,San-Francisco,Ca,94110,1695000.0,93,65.0,3.0,2.0,2000.0,Single family residential,1908.0,Active
556 arch st,San francisco,San-Francisco,Ca,94132,1398000.0,72,50.0,3.0,2.0,1858.0,Single family residential,1927.0,Active
2100 green st #302,San francisco,San-Francisco,Ca,94123,2595000.0,100,59.0,2.0,2.5,1850.0,Co-op,1927.0,Active
601 van ness ave #10,San francisco,San-Francisco,Ca,94102,990000.0,98,99.0,2.0,2.5,1461.0,Condo,1982.0,Active
1238 sutter st #405,San francisco,San-Francisco,Ca,94109,929000.0,99,82.0,2.0,1.0,689.0,Condo,2018.0,Active
33 midway st #202,San francisco,San-Francisco,Ca,94133,949000.0,95,66.0,2.0,1.5,1008.0,Condo,1980.0,Active
255 berry st #515,San francisco,San-Francisco,Ca,94158,1299000.0,88,93.0,2.0,2.0,1223.0,Condo,2004.0,Active
80 teresita blvd,San francisco,San-Francisco,Ca,94127,1995000.0,67,61.0,3.0,2.0,2022.0,Single family residential,1937.0,Active
860 brussels st,San francisco,San-Francisco,Ca,94134,959000.0,80,47.0,2.0,2.0,1125.0,Single family residential,1929.0,Active
50 henry st,San francisco,San-Francisco,Ca,94114,1895000.0,99,91.0,3.0,2.0,1564.0,Condo,1904.0,Active
926 douglass st,San francisco,San-Francisco,Ca,94114,1495000.0,87,58.0,3.0,2.0,1281.0,Single family residential,1950.0,Active
1787 mcallister st #2,San francisco,San-Francisco,Ca,94115,899000.0,97,93.0,2.0,1.0,814.0,Condo,1967.0,Active
228 lexington st,San francisco,San-Francisco,Ca,94110,1250000.0,99,95.0,2.0,1.0,1250.0,Condo,1906.0,Active
3301 - 3311 cesar chavez st unit 3311a,San francisco,San-Francisco,Ca,94110,895000.0,97,74.0,2.0,2.0,1030.0,Condo,1905.0,Active
926 goettingen st,San francisco,San-Francisco,Ca,94134,899000.0,67,41.0,2.0,1.0,836.0,Single family residential,1952.0,Active
203 randall st,San francisco,San-Francisco,Ca,94131,999000.0,89,73.0,2.0,1.0,1003.0,Condo,1910.0,Active
119 middlefield dr,San francisco,San-Francisco,Ca,94132,1499000.0,79,80.0,4.0,2.0,1815.0,Single family residential,1950.0,Active
528 hearst ave,San francisco,San-Francisco,Ca,94112,1295000.0,81,70.0,2.0,1.0,1300.0,Single family residential,1923.0,Active
2090 castro st,San francisco,San-Francisco,Ca,94131,3195000.0,85,57.0,5.0,3.0,2180.0,Single family residential,1978.0,Active
442 14th st,San francisco,San-Francisco,Ca,94103,1188000.0,99,96.0,3.0,2.0,1304.0,Condo,1907.0,Active
1360 - 1362 rhode island st,San francisco,San-Francisco,Ca,94107,1985000.0,85,75.0,3.0,3.0,2390.0,Multi-family (2-4 unit),1910.0,Active
1631 25th ave,San francisco,San-Francisco,Ca,94122,1650000.0,86,76.0,3.0,3.0,2520.0,Single family residential,1928.0,Active
718 long bridge st #1404,San francisco,San-Francisco,Ca,94158,2175000.0,82,93.0,2.0,2.0,1473.0,Condo,2016.0,Active
57 whittier st,San francisco,San-Francisco,Ca,94112,998000.0,88,43.0,2.0,2.0,1148.0,Single family residential,1927.0,Active
250 28th ave,San francisco,San-Francisco,Ca,94121,2700000.0,87,92.0,3.0,2.0,2070.0,Single family residential,1916.0,Active
1826 keith st,San francisco,San-Francisco,Ca,94124,939000.0,89,68.0,3.0,1.0,1101.0,Single family residential,1955.0,Active
555 4th st #649,San francisco,San-Francisco,Ca,94107,649000.0,96,89.0,1.0,1.0,632.0,Condo,2006.0,Active
445 roosevelt way,San francisco,San-Francisco,Ca,94114,1799000.0,87,65.0,3.0,2.0,1505.0,Condo,1953.0,Active
