Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
1830 fillmore st #311,San francisco,San-Francisco,Ca,94115,1098000.0,0.0,0.0,2.0,2.0,1107.0,Condo,1984.0,Active
2152 16th ave,San francisco,San-Francisco,Ca,94116,1298000.0,0.0,0.0,3.0,2.0,1325.0,Single family residential,1938.0,Coming soon
1631 la salle ave,San francisco,San-Francisco,Ca,94124,1495000.0,0.0,0.0,4.0,4.0,2430.0,Single family residential,1940.0,Active
1824 jackson st,San francisco,San-Francisco,Ca,94109,2300000.0,0.0,0.0,3.0,2.5,2854.0,Condo,1917.0,Active
301 crescent ct #3101,San francisco,San-Francisco,Ca,94134,529000.0,17.0,42.0,1.0,1.0,804.0,Condo,2007.0,Active
1050 north point st #302,San francisco,San-Francisco,Ca,94109,899000.0,0.0,0.0,2.0,1.0,1008.0,Condo,1963.0,Active
2171 mission st #302,San francisco,San-Francisco,Ca,94110,869000.0,100.0,100.0,2.0,2.0,994.0,Condo,2000.0,Active
1000 north point st #1505,San francisco,San-Francisco,Ca,94109,650000.0,95.0,73.0,0.0,1.0,379.0,Co-op,1963.0,Active
1483 sutter st #402,San francisco,San-Francisco,Ca,94109,565000.0,99.0,82.0,1.0,1.0,650.0,Condo,1993.0,Active
1483 sutter st #906,San francisco,San-Francisco,Ca,94109,999000.0,99.0,82.0,2.0,2.0,1128.0,Condo,1993.0,Active
65 cleary ct #7,San francisco,San-Francisco,Ca,94109,1185000.0,97.0,77.0,3.0,2.0,1436.0,Co-op,1962.0,Active
1840 washington st #203,San francisco,San-Francisco,Ca,94109,975000.0,0.0,0.0,1.0,1.0,863.0,Condo,2012.0,Active
301 mission st unit 47f,San francisco,San-Francisco,Ca,94105,2198888.0,0.0,0.0,3.0,2.0,1601.0,Condo,2009.0,Active
31 - 33 loyola ter,San francisco,San-Francisco,Ca,94117,2195000.0,96.0,92.0,4.0,2.0,3376.0,Multi-family (2-4 unit),1922.0,Active
751 madrid st,San francisco,San-Francisco,Ca,94112,1199000.0,91.0,53.0,2.0,3.0,1700.0,Single family residential,1931.0,Active
194 thrift st,San francisco,San-Francisco,Ca,94112,1298000.0,74.0,43.0,3.0,1.5,1386.0,Single family residential,1965.0,Active
1465 fulton st,San francisco,San-Francisco,Ca,94117,1695000.0,97.0,99.0,3.0,2.5,1930.0,Condo,1900.0,Active
999 green st #1704,San francisco,San-Francisco,Ca,94133,2649000.0,0.0,0.0,2.0,2.0,1681.0,Condo,1964.0,Active
242 anderson st,San francisco,San-Francisco,Ca,94110,1998000.0,95.0,59.0,3.0,2.5,1772.0,Single family residential,1987.0,Active
138 28th ave,San francisco,San-Francisco,Ca,94121,2995000.0,0.0,0.0,3.0,3.0,2750.0,Single family residential,1923.0,Active
2828 bryant st,San francisco,San-Francisco,Ca,94110,1395000.0,96.0,76.0,3.0,2.0,1475.0,Condo,1926.0,Active
2830 bryant st,San francisco,San-Francisco,Ca,94110,1295000.0,0.0,0.0,2.0,2.0,1357.0,Condo,1926.0,Active
20 mizpah st,San francisco,San-Francisco,Ca,94131,1748000.0,76.0,65.0,3.0,1.5,1680.0,Single family residential,1904.0,Active
25 morrell st,San francisco,San-Francisco,Ca,94109,1095000.0,0.0,0.0,2.0,1.0,980.0,Condo,1923.0,Active
403 main st unit 620n,San francisco,San-Francisco,Ca,94105,1195000.0,0.0,0.0,2.0,2.0,1083.0,Condo,1997.0,Active
1345 visitacion ave,San francisco,San-Francisco,Ca,94134,1198000.0,0.0,0.0,2.0,1.0,1260.0,Single family residential,1951.0,Active
101 lombard st unit 104e,San francisco,San-Francisco,Ca,94111,960000.0,97.0,65.0,1.0,1.0,1030.0,Condo,1983.0,Active
2143 14th ave,San francisco,San-Francisco,Ca,94116,1998000.0,80.0,44.0,4.0,4.0,3590.0,Single family home,1976.0,Active
277 douglass st,San francisco,San-Francisco,Ca,94114,1999000.0,0.0,0.0,3.0,2.0,1835.0,Single family residential,1910.0,Active
207 guerrero st,San francisco,San-Francisco,Ca,94103,2000000.0,0.0,0.0,3.0,2.5,1850.0,Townhouse,2004.0,Active
2002 3rd st #110,San francisco,San-Francisco,Ca,94107,849000.0,89.0,95.0,1.0,1.5,890.0,Condo,2002.0,Active
3057 - 3059 market st #3059,San francisco,San-Francisco,Ca,94114,1595000.0,0.0,0.0,2.0,2.0,1190.0,Condo,1958.0,Active
425 40th ave,San francisco,San-Francisco,Ca,94121,1675000.0,0.0,0.0,3.0,1.5,1684.0,Single family residential,1926.0,Active
1533 thomas ave,San francisco,San-Francisco,Ca,94124,989000.0,0.0,0.0,6.0,2.0,2080.0,Multi-family (2-4 unit),1907.0,Active
120 putnam st,San francisco,San-Francisco,Ca,94110,2900000.0,91.0,68.0,3.0,4.0,3128.0,Single family residential,1923.0,New
1266 15th ave,San francisco,San-Francisco,Ca,94122,1790000.0,0.0,0.0,4.0,2.0,2432.0,Single family home,1923.0,Active
175 bluxome st #217,San francisco,San-Francisco,Ca,94107,860000.0,92.0,98.0,2.0,2.0,1072.0,Condo,1998.0,Active
601 van ness ave #623,San francisco,San-Francisco,Ca,94102,599000.0,0.0,0.0,1.0,1.0,721.0,Condo,1982.0,Active
2235 lake st,San francisco,San-Francisco,Ca,94121,1825000.0,95.0,92.0,4.0,2.0,1856.0,Condo,1913.0,Active
652 lakeview ave,San francisco,San-Francisco,Ca,94112,1895000.0,0.0,0.0,4.0,3.0,2490.0,Single family residential,2013.0,Active
154 everson st,San francisco,San-Francisco,Ca,94131,1380000.0,0.0,0.0,3.0,1.5,1605.0,Townhouse,1973.0,Active
3136 fulton st #2,San francisco,San-Francisco,Ca,94118,1549000.0,87.0,88.0,4.0,2.5,1832.0,Condo,2001.0,Active
253 randall st #1,San francisco,San-Francisco,Ca,94131,1089000.0,89.0,73.0,2.0,1.0,806.0,Condo,1909.0,Active
2363 35th ave,San francisco,San-Francisco,Ca,94116,1295000.0,86.0,67.0,3.0,2.0,1387.0,Single family residential,1947.0,Active
42 wilder st,San francisco,San-Francisco,Ca,94131,2195000.0,0.0,0.0,3.0,2.0,2386.0,Single family residential,1938.0,Active
601 van ness ave #311,San francisco,San-Francisco,Ca,94102,515000.0,98.0,99.0,1.0,1.0,558.0,Condo,1982.0,Active
1552 - 1554 chestnut st,San francisco,San-Francisco,Ca,94123,2845000.0,96.0,91.0,4.0,0.0,2826.0,Multi-family (2-4 unit),1923.0,Active
300 ivy st #303,San francisco,San-Francisco,Ca,94102,899000.0,0.0,0.0,1.0,1.0,679.0,Condo,2014.0,Active
1001 pine st #509,San francisco,San-Francisco,Ca,94109,629000.0,99.0,58.0,1.0,1.0,616.0,Condo,1963.0,Active
1255 - 1257 19th ave,San francisco,San-Francisco,Ca,94122,1495000.0,97.0,81.0,7.0,3.0,3450.0,Multi-family (2-4 unit),1905.0,Active
208 17th ave,San francisco,San-Francisco,Ca,94121,1595000.0,0.0,0.0,3.0,2.0,1760.0,Condo,1925.0,Active
1250 washington st,San francisco,San-Francisco,Ca,94108,1325000.0,99.0,61.0,3.0,2.0,1483.0,Condo,1913.0,Active
655 corbett ave #105,San francisco,San-Francisco,Ca,94114,739000.0,0.0,0.0,1.0,1.0,756.0,Condo,1964.0,Active
255 topaz way,San francisco,San-Francisco,Ca,94131,2595000.0,0.0,0.0,4.0,3.5,2625.0,Single family residential,1972.0,Active
1918 15th st #2,San francisco,San-Francisco,Ca,94114,999000.0,0.0,0.0,2.0,1.0,1000.0,Condo,1906.0,Active
761 39th ave,San francisco,San-Francisco,Ca,94121,1995000.0,0.0,0.0,4.0,4.0,2010.0,Single family residential,1924.0,Active
603 - 609 peralta ave,San francisco,San-Francisco,Ca,94110,1750000.0,86.0,67.0,4.0,0.0,3500.0,Multi-family (2-4 unit),1959.0,Active
2377 greenwich st,San francisco,San-Francisco,Ca,94123,1598000.0,98.0,73.0,1.0,1.0,1095.0,Single family home,1900.0,Active
2341 franklin st #4,San francisco,San-Francisco,Ca,94123,1095000.0,99.0,66.0,1.0,1.0,1306.0,Condo,1927.0,Active
234 madrid st,San francisco,San-Francisco,Ca,94112,1199000.0,89.0,59.0,3.0,2.0,1425.0,Single family residential,1960.0,Active
